crim,nox,rm,age,tax,medv
0.00632,0.538,6.575,65.2,296,24
0.02731,0.469,6.421,78.9,242,21.6
0.02729,0.469,7.185,61.1,242,34.7
0.03237,0.458,6.998,45.8,222,33.4
0.06905,0.458,7.147,54.2,222,36.2
0.02985,0.458,6.43,58.7,222,28.7
0.08829,0.524,6.012,66.6,311,22.9
0.14455,0.524,6.172,96.1,311,27.1
0.21124,0.524,5.631,100,311,16.5
0.17004,0.524,6.004,85.9,311,18.9
0.22489,0.524,6.377,94.3,311,15
0.11747,0.524,6.009,82.9,311,18.9
0.09378,0.524,5.889,39,311,21.7
0.62976,0.538,5.949,61.8,307,20.4
0.63796,0.538,6.096,84.5,307,18.2
0.62739,0.538,5.834,56.5,307,19.9
1.05393,0.538,5.935,29.3,307,23.1
0.7842,0.538,5.99,81.7,307,17.5
0.80271,0.538,5.456,36.6,307,20.2
0.7258,0.538,5.727,69.5,307,18.2
1.25179,0.538,5.57,98.1,307,13.6
0.85204,0.538,5.965,89.2,307,19.6
1.23247,0.538,6.142,91.7,307,15.2
0.98843,0.538,5.813,100,307,14.5
0.75026,0.538,5.924,94.1,307,15.6
0.84054,0.538,5.599,85.7,307,13.9
0.67191,0.538,5.813,90.3,307,16.6
0.95577,0.538,6.047,88.8,307,14.8
0.77299,0.538,6.495,94.4,307,18.4
1.00245,0.538,6.674,87.3,307,21
1.13081,0.538,5.713,94.1,307,12.7
1.35472,0.538,6.072,100,307,14.5
1.38799,0.538,5.95,82,307,13.2
1.15172,0.538,5.701,95,307,13.1
1.61282,0.538,6.096,96.9,307,13.5
0.06417,0.499,5.933,68.2,279,18.9
0.09744,0.499,5.841,61.4,279,20
0.08014,0.499,5.85,41.5,279,21
0.17505,0.499,5.966,30.2,279,24.7
0.02763,0.428,6.595,21.8,252,30.8
0.03359,0.428,7.024,15.8,252,34.9
0.12744,0.448,6.77,2.9,233,26.6
0.1415,0.448,6.169,6.6,233,25.3
0.15936,0.448,6.211,6.5,233,24.7
0.12269,0.448,6.069,40,233,21.2
0.17142,0.448,5.682,33.8,233,19.3
0.18836,0.448,5.786,33.3,233,20
0.22927,0.448,6.03,85.5,233,16.6
0.25387,0.448,5.399,95.3,233,14.4
