Name,AtBat,Hits,HmRun,Runs
Andy Allanson,293,66,1,30
Alan Ashby,315,81,7,24
Alvin Davis,479,130,18,66
Andy Allanson,293,66,1,30
Andre Dawson,496,141,20,65
Andres Galarraga,321,87,10,39
Alfredo Griffin,594,169,4,74
Alan Ashby,315,81,7,24
Al Newman,185,37,1,23
Alan Ashby,315,81,7,24
Argenis Salazar,298,73,0,24
Andres Thomas,323,81,6,26
Andre Thornton,401,92,17,49
Alan Trammell,574,159,21,107
Alex Trevino,202,53,4,31
Andy VanSlyke,418,113,13,48
Alan Wiggins,239,60,0,30
Bill Almon,196,43,7,29
Billy Beane,183,39,3,20
Buddy Bell,568,158,20,89
Buddy Biancalana,190,46,2,24
Bruce Bochte,407,104,6,57
Bruce Bochy,127,32,8,16
Barry Bonds,413,92,16,72
