year,age,sex,maritl,race,education,wage
2006,18,1. Male,1. Never Married,1. White,1. < HS Grad,75.04315402
2004,24,1. Male,1. Never Married,1. White,4. College Grad,70.47601965
2003,45,1. Male,2. Married,1. White,3. Some College,130.9821774
2003,43,1. Male,2. Married,3. Asian,4. College Grad,154.685293
2005,50,1. Male,4. Divorced,1. White,2. HS Grad,75.04315402
2008,54,1. Male,2. Married,1. White,4. College Grad,127.1157438
2009,44,1. Male,2. Married,4. Other,3. Some College,169.528538
2008,30,1. Male,1. Never Married,3. Asian,3. Some College,111.7208494
2006,41,1. Male,1. Never Married,2. Black,3. Some College,118.8843593
2004,52,1. Male,2. Married,1. White,2. HS Grad,128.6804882
2007,45,1. Male,4. Divorced,1. White,3. Some College,117.1468169
2007,34,1. Male,2. Married,1. White,2. HS Grad,81.28325328
2005,35,1. Male,1. Never Married,1. White,2. HS Grad,89.49247952
2003,39,1. Male,2. Married,1. White,4. College Grad,134.7053751
2009,54,1. Male,2. Married,1. White,2. HS Grad,134.7053751
2009,51,1. Male,2. Married,1. White,3. Some College,90.48191336
2003,37,1. Male,1. Never Married,3. Asian,4. College Grad,82.6796373
2006,50,1. Male,2. Married,1. White,5. Advanced Degree,212.8423523
2007,56,1. Male,2. Married,1. White,4. College Grad,129.156693
2003,37,1. Male,1. Never Married,1. White,3. Some College,98.59934386
2003,38,1. Male,2. Married,3. Asian,4. College Grad,200.5432623
2005,40,1. Male,4. Divorced,1. White,2. HS Grad,50.40666086
2009,75,1. Male,2. Married,1. White,4. College Grad,85.38394038
2007,40,1. Male,2. Married,1. White,4. College Grad,160.6424754
2006,38,1. Male,1. Never Married,1. White,2. HS Grad,94.07271475
2005,49,1. Male,2. Married,1. White,5. Advanced Degree,277.6014175
2006,43,1. Male,2. Married,1. White,2. HS Grad,84.04595765
2004,34,1. Male,2. Married,4. Other,2. HS Grad,65.11085372
2008,57,1. Male,2. Married,1. White,2. HS Grad,116.2653241
2003,18,1. Male,1. Never Married,2. Black,2. HS Grad,70.47601965
2004,55,1. Male,2. Married,1. White,5. Advanced Degree,195.676308
2005,51,1. Male,2. Married,1. White,3. Some College,101.4020523
2008,33,1. Male,1. Never Married,1. White,5. Advanced Degree,81.28325328
2005,34,1. Male,1. Never Married,1. White,2. HS Grad,111.7208494
2006,36,1. Male,2. Married,1. White,4. College Grad,89.88004678
2003,56,1. Male,1. Never Married,1. White,5. Advanced Degree,87.98103279
2006,70,1. Male,1. Never Married,1. White,4. College Grad,87.98103279
2004,25,1. Male,1. Never Married,1. White,4. College Grad,103.9024706
2006,32,1. Male,2. Married,1. White,3. Some College,105.9278108
2003,27,1. Male,2. Married,1. White,1. < HS Grad,66.22940829
2004,28,1. Male,2. Married,3. Asian,4. College Grad,34.60741773
2007,27,1. Male,1. Never Married,1. White,4. College Grad,109.8339856
2004,43,1. Male,1. Never Married,1. White,1. < HS Grad,45.28216999
2005,50,1. Male,1. Never Married,4. Other,1. < HS Grad,73.77574327
2004,39,1. Male,2. Married,2. Black,2. HS Grad,81.28325328
2008,52,1. Male,2. Married,1. White,5. Advanced Degree,154.685293
2009,35,1. Male,2. Married,1. White,4. College Grad,267.9010869
2007,57,1. Male,2. Married,1. White,5. Advanced Degree,176.9896505
2006,25,1. Male,1. Never Married,1. White,1. < HS Grad,66.22940829
2006,33,1. Male,1. Never Married,1. White,2. HS Grad,116.2653241
2005,57,1. Male,2. Married,1. White,5. Advanced Degree,200.5432623
2008,71,1. Male,2. Married,1. White,3. Some College,101.8243521
2004,43,1. Male,2. Married,1. White,4. College Grad,272.2947832
2003,23,1. Male,1. Never Married,1. White,3. Some College,35.03342132
2009,30,1. Male,1. Never Married,1. White,5. Advanced Degree,114.4757133
2004,22,1. Male,1. Never Married,2. Black,2. HS Grad,81.28325328
2006,59,1. Male,2. Married,1. White,5. Advanced Degree,200.5432623
2003,28,1. Male,1. Never Married,3. Asian,4. College Grad,148.4131591
2004,61,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2003,34,1. Male,2. Married,1. White,2. HS Grad,111.7208494
2005,43,1. Male,2. Married,1. White,4. College Grad,152.838801
