year,age,sex,marital,race,education,wage
2006,18, Male, Never Married, White, < HS Grad,75.04315402
2004,24, Male, Never Married, White, College Grad,70.47601965
2003,45, Male, Married, Black, Some College,130.9821774
2003,43,Female, Married, Asian, College Grad,154.685293
2005,50, Male, Divorced, White, HS Grad,75.04315402
2008,54, Male, Married, White, College Grad,127.1157438
2009,44,Female, Married, White, Some College,169.528538
2008,30, Male, Never Married, Asian, Some College,111.7208494
2006,41,Female, Never Married, Black, Some College,118.8843593
2004,52, Male, Married, White, HS Grad,128.6804882
2007,45, Male, Divorced, Black, Some College,117.1468169
2007,34,Female, Married, White, HS Grad,81.28325328
2005,35, Male, Never Married, White, HS Grad,89.49247952
2003,39, Male, Married, White, College Grad,134.7053751
2009,54,Female, Married, White, HS Grad,134.7053751
2009,51, Male, Married, White, Some College,90.48191336
2003,37, Male, Never Married, Asian, College Grad,82.6796373
2006,50,Female, Married, White,5. Advanced Degree,212.8423523
2007,56, Male, Married, White, College Grad,129.156693
2003,37,Female, Never Married, White, Some College,98.59934386
