year,sales,amount
2010,sale1,200
2011,sale1,328
2012,sale1,870
2013,sale1,209
2014,sale1,348
2015,sale1,475
2016,sale1,944
2017,sale1,190
2018,sale1,129
2019,sale1,31
2020,sale1,646
2021,sale1,284
2010,sale2,258
2011,sale2,664
2012,sale2,249
2013,sale2,971
2014,sale2,863
2015,sale2,999
2016,sale2,356
2017,sale2,12
2018,sale2,936
2019,sale2,877
2020,sale2,768
2021,sale2,792
2010,sale3,592
2011,sale3,606
2012,sale3,918
2013,sale3,629
2014,sale3,929
2015,sale3,610
2016,sale3,540
2017,sale3,673
2018,sale3,14
2019,sale3,181
2020,sale3,862
2021,sale3,688
