Id,LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,GarageArea,SalePrice
1,8450,7,2003,856,1710,2,3,Gd,8,548,208500
2,9600,6,1976,1262,1262,2,3,TA,6,460,181500
3,11250,7,2001,920,1786,2,3,Gd,6,608,223500
4,9550,7,1915,756,1717,1,3,Gd,7,642,140000
5,14260,8,2000,1145,2198,2,4,Gd,9,836,250000
6,14115,5,1993,796,1362,1,1,TA,5,480,143000
7,10084,8,2004,1686,1694,2,3,Gd,7,636,307000
8,10382,7,1973,1107,2090,2,3,TA,7,484,200000
9,6120,7,1931,952,1774,2,2,TA,8,468,129900
10,7420,5,1939,991,1077,1,2,TA,5,205,118000
11,11200,5,1965,1040,1040,1,3,TA,5,384,129500
12,11924,9,2005,1175,2324,3,4,Ex,11,736,345000
13,12968,5,1962,912,912,1,2,TA,4,352,144000
14,10652,7,2006,1494,1494,2,3,Gd,7,840,279500
15,10920,6,1960,1253,1253,1,2,TA,5,352,157000
16,6120,7,1929,832,854,1,2,TA,5,576,132000
17,11241,6,1970,1004,1004,1,2,TA,5,480,149000
18,10791,4,1967,0,1296,2,2,TA,6,516,90000
19,13695,5,2004,1114,1114,1,3,Gd,6,576,159000
20,7560,5,1958,1029,1339,1,3,TA,6,294,139000
21,14215,8,2005,1158,2376,3,4,Gd,9,853,325300
22,7449,7,1930,637,1108,1,3,Gd,6,280,139400
23,9742,8,2002,1777,1795,2,3,Gd,7,534,230000
24,4224,5,1976,1040,1060,1,3,TA,6,572,129900
25,8246,5,1968,1060,1060,1,3,Gd,6,270,154000
26,14230,8,2007,1566,1600,2,3,Gd,7,890,256300
27,7200,5,1951,900,900,1,3,Gd,5,576,134800
28,11478,8,2007,1704,1704,2,3,Gd,7,772,306000
29,16321,5,1957,1484,1600,1,2,TA,6,319,207500
30,6324,4,1927,520,520,1,1,Fa,4,240,68500
31,8500,4,1920,649,1317,1,3,TA,6,250,40000
32,8544,5,1966,1228,1228,1,3,Gd,6,271,149350
33,11049,8,2007,1234,1234,2,3,Gd,7,484,179900
34,10552,5,1959,1398,1700,1,4,Gd,6,447,165500
35,7313,9,2005,1561,1561,2,2,Ex,6,556,277500
36,13418,8,2004,1117,2452,3,4,Gd,9,691,309000
37,10859,5,1994,1097,1097,1,3,TA,6,672,145000
38,8532,5,1954,1297,1297,1,3,TA,5,498,153000
39,7922,5,1953,1057,1057,1,3,Gd,5,246,109000
40,6040,4,1955,0,1152,2,2,Fa,6,0,82000
41,8658,6,1965,1088,1324,2,3,TA,6,440,160000
42,16905,5,1959,1350,1328,1,2,TA,5,308,170000
43,9180,5,1983,840,884,1,2,Gd,5,504,144000
44,9200,5,1975,938,938,1,3,TA,5,308,130250
45,7945,5,1959,1150,1150,1,3,TA,6,300,141000
46,7658,9,2005,1752,1752,2,2,Ex,6,576,319900
47,12822,7,2003,1434,2149,1,1,Gd,6,670,239686
48,11096,8,2006,1656,1656,2,3,Gd,7,826,249700
49,4456,4,1920,736,1452,2,2,TA,8,0,113000
50,7742,5,1966,955,955,1,3,TA,6,386,127000
51,13869,6,1997,794,1470,2,3,TA,6,388,177000
52,6240,6,1934,816,1176,1,3,TA,6,528,114500
53,8472,5,1963,816,816,1,2,TA,5,516,110000
54,50271,9,1981,1842,1842,0,0,Gd,5,894,385000
