longitude,latitude,housing_age,total_rooms,households,median_income,house_value,ocean_proximity
-121.97,37.64,32,1283,171,6.0574,431000,<1H OCEAN
-121.99,37.61,9,3666,703,4.6458,217000,<1H OCEAN
-121.97,37.57,21,4342,789,4.6146,247600,<1H OCEAN
-121.96,37.58,15,3575,559,5.7192,283500,<1H OCEAN
-121.98,37.58,20,4126,975,3.6832,216900,<1H OCEAN
-121.99,37.58,31,2878,485,6.2073,282500,<1H OCEAN
-122,37.58,6,4405,688,5.8151,295600,<1H OCEAN
-121.93,37.49,5,1150,245,3.5714,300000,<1H OCEAN
-121.99,37.56,18,5505,971,5,269700,<1H OCEAN
-121.99,37.56,20,6462,1235,4.3393,231200,<1H OCEAN
-121.96,37.55,4,3746,838,4.1387,162500,<1H OCEAN
-121.97,37.56,13,8918,1772,4.8052,254000,<1H OCEAN
-121.97,37.54,31,1949,322,4.6349,196200,<1H OCEAN
-121.97,37.55,17,4924,1182,3.168,189400,<1H OCEAN
-121.98,37.54,17,5133,1339,3.1326,220800,<1H OCEAN
-121.99,37.55,16,6647,1903,2.9074,213800,<1H OCEAN
-121.94,37.56,15,5674,714,8.3996,442900,<1H OCEAN
-121.95,37.55,21,10687,1520,6.6478,333400,<1H OCEAN
-121.93,37.54,25,1354,220,6.629,352400,<1H OCEAN
-121.94,37.54,27,3715,538,6.2179,305300,<1H OCEAN
-121.94,37.53,33,2095,304,5.761,259600,<1H OCEAN
-121.95,37.54,29,3517,585,4.6641,248900,<1H OCEAN
-121.94,37.54,31,2537,410,6.7599,356000,<1H OCEAN
-121.96,37.54,14,5106,1108,3.9909,236000,<1H OCEAN
-121.96,37.53,23,2215,492,4.2955,218800,<1H OCEAN
-121.96,37.53,28,2949,545,4.9615,228000,<1H OCEAN
-121.96,37.53,18,2375,586,2.6198,235900,<1H OCEAN
-121.97,37.54,28,2312,467,4.7135,203200,<1H OCEAN
-121.97,37.53,35,2277,413,4.75,197000,<1H OCEAN
-121.97,37.53,26,2506,406,5.4299,236400,<1H OCEAN
-121.98,37.53,28,2829,540,4.6,223200,<1H OCEAN
